instance,snapshot,seed,heuristic,hv2d
abz6,4,4,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,0,nsga2,1.2098968591741868
abz6,4,0,nsga3,1.2089267322942305
abz6,4,1,nsga2,1.2083272685261146
abz6,4,1,nsga3,1.2053684372436426
abz6,4,2,nsga2,1.207565695652174
abz6,4,2,nsga3,1.2073072819250752
abz6,4,3,nsga2,1.2061788326497134
abz6,4,3,nsga3,1.2080885124418925
abz6,4,4,nsga2,1.207520280284386
abz6,4,4,nsga3,1.2076076797921798
abz6,4,0,dom,1.163625687722177
abz6,4,1,dom,1.163625687722177
abz6,4,2,dom,1.163625687722177
abz6,4,3,dom,1.163625687722177
abz6,4,4,dom,1.163625687722177
abz6,4,0,wdeg,1.1829000112113754
abz6,4,1,wdeg,1.1829000112113754
abz6,4,2,wdeg,1.1829000112113754
abz6,4,3,wdeg,1.1829000112113754
abz6,4,4,wdeg,1.1829000112113754
abz6,4,0,activity,0.027689162701668074
abz6,4,1,activity,0.027689162701668074
abz6,4,2,activity,0.027689162701668074
abz6,4,3,activity,0.027689162701668074
abz6,4,4,activity,0.027689162701668074
abz6,4,0,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,1,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,2,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,3,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,4,mo_dyn_hd_cacd,1.1722591632485644
abz6,4,0,nsga2,1.2099015734208374
abz6,4,0,nsga3,1.2089267322942305
abz6,4,1,nsga2,1.2083272685261146
abz6,4,1,nsga3,1.2053684372436426
abz6,4,2,nsga2,1.207564046759639
abz6,4,2,nsga3,1.207307642876675
abz6,4,3,nsga2,1.2061788326497134
abz6,4,3,nsga3,1.2080885124418925
abz6,4,4,nsga2,1.207520280284386
abz6,4,4,nsga3,1.2076076797921798
abz7,0,0,dom,0.16205313092979134
abz7,0,1,dom,0.16205313092979134
abz7,0,2,dom,0.16205313092979134
abz7,0,3,dom,0.16205313092979134
abz7,0,4,dom,0.16205313092979134
abz7,0,0,wdeg,0.31962393811122475
abz7,0,1,wdeg,0.31962393811122475
abz7,0,2,wdeg,0.31962393811122475
abz7,0,3,wdeg,0.31962393811122475
abz7,0,4,wdeg,0.31962393811122475
abz7,0,0,activity,0.0
abz7,0,1,activity,0.0
abz7,0,2,activity,0.0
abz7,0,3,activity,0.0
abz7,0,4,activity,0.0
